Employee ID,Ticket ID,Assign Team,Severity,Subject,Description,Status
1,20240317-0001,HR,Low,Update Employee Details,Update Employee Details,Assigned
1,20240317-0002,Payroll,High,Payroll Dispute,Payroll Dispute,Cancelled
1,20240317-0003,IT,High,Password Reset,Password Reset,Working
2,20240317-0004,HR,Low,Update Employee Details,Update Employee Details,Assigned
2,20240317-0005,Payroll,High,Payroll Dispute,Payroll Dispute,Closed
2,20240317-0006,IT,High,Password Reset,Password Reset,Working
3,20240317-0007,HR,Low,Update Employee Details,Update Employee Details,Assigned
3,20240317-0008,Payroll,High,Payroll Dispute,Payroll Dispute,Reassigned
3,20240317-0009,IT,High,Password Reset,Password Reset,Pending
4,20240317-0010,HR,Low,Update Employee Details,Update Employee Details,Assigned
4,20240317-0011,Payroll,High,Payroll Dispute,Payroll Dispute,Closed
4,20240317-0012,IT,High,Password Reset,Password Reset,Working
1,20240317-0013,HR,Low,COE Request,COE Request,Working
1,20240317-0014,IT,Medium,Tools issue,Tools issue,Pending
1,20240317-0015,Payroll,High ,Payroll Dispute,Payroll Dispute,Assigned
2,20240317-0017,HR,Low,COE Request,COE Request,Working
2,20240317-0018,IT,Medium,Tools issue,Tools issue,Pending
2,20240317-0020,IT,Urgent,Password Reset,Password Reset,Closed
3,20240317-0021,HR,Low,COE Request,COE Request,Working
3,20240317-0023,Payroll,High ,Payroll Dispute,Payroll Dispute,Assigned
3,20240317-0024,IT,Urgent,Password Reset,Password Reset,Closed
4,20240317-0024,HR,Low,COE Request,COE Request,Working
4,20240317-0026,Payroll,High ,Payroll Dispute,Payroll Dispute,Assigned
4,20240317-0027,IT,Urgent,Password Reset,Password Reset,Closed
