Employee ID,Date,Time In,Time Out
1,3/1/2024,8:00am,
1,3/1/2024,,5:00pm
1,3/4/2024,8:00am,
1,3/4/2024,,5:00pm
1,3/5/2024,8:00am,
1,3/5/2024,,5:00pm
1,3/6/2024,8:00am,
1,3/6/2024,,5:00pm
1,3/7/2024,8:00am,
1,3/7/2024,,5:00pm
1,3/8/2024,8:00am,
1,3/8/2024,,5:00pm
1,3/11/2024,8:00am,
1,3/11/2024,,5:00pm
1,3/12/2024,8:00am,
1,3/12/2024,,5:00pm
1,3/13/2024,8:00am,
1,3/13/2024,,5:00pm
1,3/14/2024,8:00am,
1,3/14/2024,,5:00pm
1,3/15/2024,8:00am,
1,3/15/2024,,5:00pm
2,3/1/2024,8:00am,
2,3/1/2024,,5:00pm
2,3/4/2024,8:00am,
2,3/4/2024,,5:00pm
2,3/5/2024,8:00am,
2,3/5/2024,,5:00pm
2,3/6/2024,8:00am,
2,3/6/2024,,5:00pm
2,3/7/2024,8:00am,
2,3/7/2024,,5:00pm
2,3/8/2024,8:00am,
2,3/8/2024,,5:00pm
2,3/11/2024,8:00am,
2,3/11/2024,,5:00pm
2,3/12/2024,8:00am,
2,3/12/2024,,5:00pm
2,3/13/2024,8:00am,
2,3/13/2024,,5:00pm
2,3/14/2024,8:00am,
2,3/14/2024,,5:00pm
2,3/15/2024,8:00am,
2,3/15/2024,,5:00pm
3,3/1/2024,8:00am,
3,3/1/2024,,5:00pm
3,3/4/2024,8:00am,
3,3/4/2024,,5:00pm
3,3/5/2024,8:00am,
3,3/5/2024,,5:00pm
3,3/6/2024,8:00am,
3,3/6/2024,,5:00pm
3,3/7/2024,8:00am,
3,3/7/2024,,5:00pm
3,3/8/2024,8:00am,
3,3/8/2024,,5:00pm
3,3/11/2024,8:00am,
3,3/11/2024,,5:00pm
3,3/12/2024,8:00am,
3,3/12/2024,,5:00pm
3,3/13/2024,8:00am,
3,3/13/2024,,5:00pm
3,3/14/2024,8:00am,
3,3/14/2024,,5:00pm
3,3/15/2024,8:00am,
3,3/15/2024,,5:00pm
4,3/1/2024,8:00am,
4,3/1/2024,,5:00pm
4,3/4/2024,8:00am,
4,3/4/2024,,5:00pm
4,3/5/2024,8:00am,
4,3/5/2024,,5:00pm
4,3/6/2024,8:00am,
4,3/6/2024,,5:00pm
4,3/7/2024,8:00am,
4,3/7/2024,,5:00pm
4,3/8/2024,8:00am,
4,3/8/2024,,5:00pm
4,3/11/2024,8:00am,
4,3/11/2024,,5:00pm
4,3/12/2024,8:00am,
4,3/12/2024,,5:00pm
4,3/13/2024,8:00am,
4,3/13/2024,,5:00pm
4,3/14/2024,8:00am,
4,3/14/2024,,5:00pm
4,3/15/2024,8:00am,
4,3/15/2024,,5:00pm
5,3/1/2024,8:00am,
5,3/1/2024,,5:00pm
5,3/4/2024,8:00am,
5,3/4/2024,,5:00pm
5,3/5/2024,8:00am,
5,3/5/2024,,5:00pm
5,3/6/2024,8:00am,
5,3/6/2024,,5:00pm
5,3/7/2024,8:00am,
5,3/7/2024,,5:00pm
5,3/8/2024,8:00am,
5,3/8/2024,,5:00pm
5,3/11/2024,8:00am,
5,3/11/2024,,5:00pm
5,3/12/2024,8:00am,
5,3/12/2024,,5:00pm
5,3/13/2024,8:00am,
5,3/13/2024,,5:00pm
5,3/14/2024,8:00am,
5,3/14/2024,,5:00pm
5,3/15/2024,8:00am,
5,3/15/2024,,5:00pm
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
