Employee ID,Date,Time In,Time Out,Schedule,Worked Hours,Status
1,3/1/2024,8:00am,5:00pm,8:00am-5:00pm,8,Present
1,3/2/2024,,,,,Rest
1,3/3/2024,,,,,Rest
1,3/4/2024,8:00am,5:00pm,8:00am-5:00pm,8,Present
1,3/5/2024,8:00am,5:00pm,8:00am-5:00pm,8,Present
1,3/6/2024,8:00am,5:00pm,8:00am-5:00pm,8,Present
1,3/7/2024,8:00am,5:00pm,8:00am-5:00pm,8,Present
1,3/8/2024,8:00am,5:00pm,8:00am-5:00pm,8,Present
1,3/9/2024,,,,,Rest
1,3/10/2024,,,,,Rest
2,3/1/2024,8:00am,5:00pm,8:00am-5:00pm,8,Present
2,3/2/2024,,,,,Rest
2,3/3/2024,,,,,Rest
2,3/4/2024,8:00am,5:00pm,8:00am-5:00pm,8,Present
2,3/5/2024,8:00am,5:00pm,8:00am-5:00pm,8,Present
2,3/6/2024,8:00am,5:00pm,8:00am-5:00pm,8,Present
2,3/7/2024,8:00am,5:00pm,8:00am-5:00pm,8,Present
2,3/8/2024,8:00am,5:00pm,8:00am-5:00pm,8,Present
2,3/9/2024,,,,,Rest
2,3/10/2024,,,,,Rest
3,3/1/2024,8:00am,5:00pm,8:00am-5:00pm,8,Present
3,3/2/2024,,,,,Rest
3,3/3/2024,,,,,Rest
3,3/4/2024,8:00am,5:00pm,8:00am-5:00pm,8,Present
3,3/5/2024,8:00am,5:00pm,8:00am-5:00pm,8,Present
3,3/6/2024,8:00am,5:00pm,8:00am-5:00pm,8,Present
3,3/7/2024,8:00am,5:00pm,8:00am-5:00pm,8,Present
3,3/8/2024,8:00am,5:00pm,8:00am-5:00pm,8,Present
3,3/9/2024,,,,,Rest
3,3/10/2024,,,,,Rest
4,3/1/2024,8:00am,5:00pm,8:00am-5:00pm,8,Present
4,3/2/2024,,,,,Rest
4,3/3/2024,,,,,Rest
4,3/4/2024,8:00am,5:00pm,8:00am-5:00pm,8,Present
4,3/5/2024,8:00am,5:00pm,8:00am-5:00pm,8,Present
4,3/6/2024,8:00am,5:00pm,8:00am-5:00pm,8,Present
4,3/7/2024,8:00am,5:00pm,8:00am-5:00pm,8,Present
4,3/8/2024,8:00am,5:00pm,8:00am-5:00pm,8,Present
4,3/9/2024,,,,,Rest
4,3/10/2024,,,,,Rest
5,3/1/2024,8:00am,5:00pm,8:00am-5:00pm,8,Present
5,3/2/2024,,,,,Rest
5,3/3/2024,,,,,Rest
5,3/4/2024,8:00am,5:00pm,8:00am-5:00pm,8,Present
5,3/5/2024,8:00am,5:00pm,8:00am-5:00pm,8,Present
5,3/6/2024,8:00am,5:00pm,8:00am-5:00pm,8,Present
5,3/7/2024,8:00am,5:00pm,8:00am-5:00pm,8,Present
5,3/8/2024,8:00am,5:00pm,8:00am-5:00pm,8,Present
5,3/9/2024,,,,,Rest
5,3/10/2024,,,,,Rest
6,3/1/2024,8:00am,5:00pm,8:00am-5:00pm,8,Present
6,3/2/2024,,,,,Rest
6,3/3/2024,,,,,Rest
6,3/4/2024,8:00am,5:00pm,8:00am-5:00pm,8,Present
6,3/5/2024,8:00am,5:00pm,8:00am-5:00pm,8,Present
6,3/6/2024,8:00am,5:00pm,8:00am-5:00pm,8,Present
6,3/7/2024,8:00am,5:00pm,8:00am-5:00pm,8,Present
6,3/8/2024,8:00am,5:00pm,8:00am-5:00pm,8,Present
6,3/9/2024,,,,,Rest
6,3/10/2024,,,,,Rest
7,3/1/2024,8:00am,5:00pm,8:00am-5:00pm,8,Present
7,3/2/2024,,,,,Rest
7,3/3/2024,,,,,Rest
7,3/4/2024,8:00am,5:00pm,8:00am-5:00pm,8,Present
7,3/5/2024,8:00am,5:00pm,8:00am-5:00pm,8,Present
7,3/6/2024,8:00am,5:00pm,8:00am-5:00pm,8,Present
7,3/7/2024,8:00am,5:00pm,8:00am-5:00pm,8,Present
7,3/8/2024,8:00am,5:00pm,8:00am-5:00pm,8,Present
7,3/9/2024,,,,,Rest
7,3/10/2024,,,,,Rest
8,3/1/2024,8:00am,5:00pm,8:00am-5:00pm,8,Present
8,3/2/2024,,,,,Rest
8,3/3/2024,,,,,Rest
8,3/4/2024,8:00am,5:00pm,8:00am-5:00pm,8,Present
8,3/5/2024,8:00am,5:00pm,8:00am-5:00pm,8,Present
8,3/6/2024,8:00am,5:00pm,8:00am-5:00pm,8,Present
8,3/7/2024,8:00am,5:00pm,8:00am-5:00pm,8,Present
8,3/8/2024,8:00am,5:00pm,8:00am-5:00pm,8,Present
8,3/9/2024,,,,,Rest
8,3/10/2024,,,,,Rest
9,3/1/2024,8:00am,5:00pm,8:00am-5:00pm,8,Present
9,3/2/2024,,,,,Rest
9,3/3/2024,,,,,Rest
9,3/4/2024,8:00am,5:00pm,8:00am-5:00pm,8,Present
9,3/5/2024,8:00am,5:00pm,8:00am-5:00pm,8,Present
9,3/6/2024,8:00am,5:00pm,8:00am-5:00pm,8,Present
9,3/7/2024,8:00am,5:00pm,8:00am-5:00pm,8,Present
9,3/8/2024,8:00am,5:00pm,8:00am-5:00pm,8,Present
9,3/9/2024,,,,,Rest
9,3/10/2024,,,,,Rest
10,3/1/2024,8:00am,5:00pm,8:00am-5:00pm,8,Present
10,3/2/2024,,,,,Rest
10,3/3/2024,,,,,Rest
10,3/4/2024,8:00am,5:00pm,8:00am-5:00pm,8,Present
10,3/5/2024,8:00am,5:00pm,8:00am-5:00pm,8,Present
10,3/6/2024,8:00am,5:00pm,8:00am-5:00pm,8,Present
10,3/7/2024,8:00am,5:00pm,8:00am-5:00pm,8,Present
10,3/8/2024,8:00am,5:00pm,8:00am-5:00pm,8,Present
10,3/9/2024,,,,,Rest
10,3/10/2024,,,,,Rest
11,3/1/2024,8:00am,5:00pm,8:00am-5:00pm,8,Present
11,3/2/2024,,,,,Rest
11,3/3/2024,,,,,Rest
11,3/4/2024,8:00am,5:00pm,8:00am-5:00pm,8,Present
11,3/5/2024,8:00am,5:00pm,8:00am-5:00pm,8,Present
11,3/6/2024,8:00am,5:00pm,8:00am-5:00pm,8,Present
11,3/7/2024,8:00am,5:00pm,8:00am-5:00pm,8,Present
11,3/8/2024,8:00am,5:00pm,8:00am-5:00pm,8,Present
11,3/9/2024,,,,,Rest
11,3/10/2024,,,,,Rest
12,3/1/2024,8:00am,5:00pm,8:00am-5:00pm,8,Present
12,3/2/2024,,,,,Rest
12,3/3/2024,,,,,Rest
12,3/4/2024,8:00am,5:00pm,8:00am-5:00pm,8,Present
12,3/5/2024,8:00am,5:00pm,8:00am-5:00pm,8,Present
12,3/6/2024,8:00am,5:00pm,8:00am-5:00pm,8,Present
12,3/7/2024,8:00am,5:00pm,8:00am-5:00pm,8,Present
12,3/8/2024,8:00am,5:00pm,8:00am-5:00pm,8,Present
12,3/9/2024,,,,,Rest
12,3/10/2024,,,,,Rest
